sent10	Tuvia Tzafir	Live_In	Israeli	(Israel television rejected a skit by comedian Tuvia Tzafir that attacked public apathy by depicting an Israeli family watching TV while a fire raged outside .)
sent105	Brera	Live_In	Milan	(However , Franca Chlistovsky , who heads the Brera metereologic institute in Milan , said this winter 's dry spell was not exceptional and several worse years have been registered since 1950 .)
sent137	Mineral Wells	Live_In	Davisville	(GSA Depot , Davisville , R.I. ; and Mineral Wells , Texas .)
sent137	Mineral Wells	Live_In	R.I.	(GSA Depot , Davisville , R.I. ; and Mineral Wells , Texas .)
sent137	Mineral Wells	Live_In	Texas	(GSA Depot , Davisville , R.I. ; and Mineral Wells , Texas .)
sent138	Fairbanks	Live_In	Alaska	(Locations containing suitable federally owned land were listed as : Fort Wainwright annex , Fairbanks , Alaska ;)
sent139	Andrews Lock	Live_In	Henry County	(Andrews Lock and Dam , Henry County , Ala. ;)
sent139	Andrews Lock	Live_In	Ala.	(Andrews Lock and Dam , Henry County , Ala. ;)
sent142	Andrews Lock	Live_In	Early County	(Andrews Lock and Dam , Early County , Ga. ;)
sent142	Andrews Lock	Live_In	Ga.	(Andrews Lock and Dam , Early County , Ga. ;)
sent148	Fort Hamilton	Live_In	Brooklyn	(Fort Hamilton , Brooklyn , N.Y. ;)
sent148	Fort Hamilton	Live_In	N.Y.	(Fort Hamilton , Brooklyn , N.Y. ;)
sent161	Imelda Marcos	Live_In	Britain	(Britain 's Duchess of York and former Philippines first lady Imelda Marcos topped the list by Blackwell , a designer and self-appointed fashion arbiter whose real name is Richard Sylvan Selzer .)
sent161	Richard Sylvan Selzer	Live_In	Britain	(Britain 's Duchess of York and former Philippines first lady Imelda Marcos topped the list by Blackwell , a designer and self-appointed fashion arbiter whose real name is Richard Sylvan Selzer .)
sent161	Richard Sylvan Selzer	Live_In	Philippines	(Britain 's Duchess of York and former Philippines first lady Imelda Marcos topped the list by Blackwell , a designer and self-appointed fashion arbiter whose real name is Richard Sylvan Selzer .)
sent173	Hoffman	Live_In	Fresno	(Hoffman , who portrays an autistic savant in the movie , returned the favor and called the Fresno boy Monday , talking with Brent and his family for 20 minutes .)
sent188	Kirov Ballet	Live_In	Moscow	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Kirov Ballet	Live_In	Moscow	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Kirov Ballet	Live_In	Leningrad	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Kirov Ballet	Live_In	Armenian	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Kirov Ballet	Live_In	U.S.	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Kirov Ballet	Live_In	British	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Yerevan	Live_In	Moscow	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Yerevan	Live_In	Moscow	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Yerevan	Live_In	Leningrad	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Yerevan	Live_In	Armenian	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Yerevan	Live_In	U.S.	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	Yerevan	Live_In	British	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	June Anderson	Live_In	Moscow	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	June Anderson	Live_In	Moscow	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	June Anderson	Live_In	Leningrad	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	June Anderson	Live_In	Armenian	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent188	June Anderson	Live_In	British	(Dancers of Moscow 's Bolshoi Ballet in Moscow and Leningrad 's Kirov Ballet , together with opera singers from the Armenian capital of Yerevan , joined U.S. sopranos June Anderson and Carol Vaness and British dancers and singers .)
sent197	Lesny	Live_In	Liberec	(It is roughly bounded by Ostined , Lesny and Liberec in Czechoslovakia and Gmund in Austria .)
sent197	Lesny	Live_In	Czechoslovakia	(It is roughly bounded by Ostined , Lesny and Liberec in Czechoslovakia and Gmund in Austria .)
sent197	Lesny	Live_In	Gmund	(It is roughly bounded by Ostined , Lesny and Liberec in Czechoslovakia and Gmund in Austria .)
sent197	Lesny	Live_In	Austria	(It is roughly bounded by Ostined , Lesny and Liberec in Czechoslovakia and Gmund in Austria .)
sent208	Penry	Live_In	Texas	(Assistant Charles A. Palmer of Texas argued that executing Penry would not violate the Constitution 's ban against cruel and inhuman punishment .)
sent210	Penry	Live_In	Livingston	(Penry raped Pamela Moseley Carpenter on Oct. 15 , 1979 , in Livingston , Texas , then stabbed her to death .)
sent210	Penry	Live_In	Texas	(Penry raped Pamela Moseley Carpenter on Oct. 15 , 1979 , in Livingston , Texas , then stabbed her to death .)
sent210	Pamela Moseley Carpenter	Live_In	Livingston	(Penry raped Pamela Moseley Carpenter on Oct. 15 , 1979 , in Livingston , Texas , then stabbed her to death .)
sent210	Pamela Moseley Carpenter	Live_In	Texas	(Penry raped Pamela Moseley Carpenter on Oct. 15 , 1979 , in Livingston , Texas , then stabbed her to death .)
sent278	Herbert S. Okun	Live_In	Washington	(Deputy U.S. Ambassador Herbert S. Okun announced the cancellation just before the council began debate , and officials in Washington confirmed it .)
sent281	Vernon A. Walters	Live_In	Libyan	(On Friday , U.S. Ambassador Vernon A. Walters displayed photographs of one Libyan jet showing shapes resembling missile pods on its wings and fuselage .)
sent282	Ali	Live_In	Sunni	(Libya 's deputy ambassador , Ali Sunni Muntasser , said the pictures were retouched and the planes were unarmed and on reconnaissance flights .)
sent282	Muntasser	Live_In	Libya	(Libya 's deputy ambassador , Ali Sunni Muntasser , said the pictures were retouched and the planes were unarmed and on reconnaissance flights .)
sent282	Muntasser	Live_In	Sunni	(Libya 's deputy ambassador , Ali Sunni Muntasser , said the pictures were retouched and the planes were unarmed and on reconnaissance flights .)
sent326	North	Live_In	Ranch	(River North 's nouvelle sensibilities also might be offended by the Ranch 's menu , which features items such as the ` ` Jesse James Steak ( A Steal ! ) , ' ' and the occasional ornery patron .)
sent326	James Steak	Live_In	Ranch	(River North 's nouvelle sensibilities also might be offended by the Ranch 's menu , which features items such as the ` ` Jesse James Steak ( A Steal ! ) , ' ' and the occasional ornery patron .)
sent372	Gale	Live_In	California	(Gale-force winds were reported in California late Wednesday , where gusts reached 69 mph at Ontario and 57 mph at El Toro .)
sent372	Gale	Live_In	Ontario	(Gale-force winds were reported in California late Wednesday , where gusts reached 69 mph at Ontario and 57 mph at El Toro .)
sent372	Gale	Live_In	El Toro	(Gale-force winds were reported in California late Wednesday , where gusts reached 69 mph at Ontario and 57 mph at El Toro .)
sent410	Sohn Ho Young	Live_In	Korean	(The spy , high-ranking Korean CIA official Sohn Ho Young , wanted to defect because he was about to be transferred home from a post in New York City , the newspaper said .)
sent410	Sohn Ho Young	Live_In	New York City	(The spy , high-ranking Korean CIA official Sohn Ho Young , wanted to defect because he was about to be transferred home from a post in New York City , the newspaper said .)
sent414	Derwinski	Live_In	Republican	(Derwinski , a Republican from Chicago who served 24 years in Congress , publicly denied 1978 allegations that he leaked the information and refused to testify in the matter before a federal grand jury and the House Ethics Committee .)
sent420	Derwinski	Live_In	Republican	(Derwinski was the ranking Republican on the the House Foreign Affairs subcommittee on international relations , which had secretly been in touch with Sohn and planned to have him testify about the KCIA 's involvement in Koreagate , the Times said .)
sent420	Derwinski	Live_In	Koreagate	(Derwinski was the ranking Republican on the the House Foreign Affairs subcommittee on international relations , which had secretly been in touch with Sohn and planned to have him testify about the KCIA 's involvement in Koreagate , the Times said .)
sent420	Sohn	Live_In	Republican	(Derwinski was the ranking Republican on the the House Foreign Affairs subcommittee on international relations , which had secretly been in touch with Sohn and planned to have him testify about the KCIA 's involvement in Koreagate , the Times said .)
sent420	Sohn	Live_In	Koreagate	(Derwinski was the ranking Republican on the the House Foreign Affairs subcommittee on international relations , which had secretly been in touch with Sohn and planned to have him testify about the KCIA 's involvement in Koreagate , the Times said .)
sent470	Jose Antonio Urutigoechea	Live_In	Spanish	(Police arrested 10 Spanish Basque militants , including Jose Antonio Urutigoechea , considered by Madrid to be a top leader of the Spanish Basque separatist organization ETA , authorities said today .)
sent470	Jose Antonio Urutigoechea	Live_In	Basque	(Police arrested 10 Spanish Basque militants , including Jose Antonio Urutigoechea , considered by Madrid to be a top leader of the Spanish Basque separatist organization ETA , authorities said today .)
sent470	Jose Antonio Urutigoechea	Live_In	Madrid	(Police arrested 10 Spanish Basque militants , including Jose Antonio Urutigoechea , considered by Madrid to be a top leader of the Spanish Basque separatist organization ETA , authorities said today .)
sent470	Jose Antonio Urutigoechea	Live_In	Spanish Basque	(Police arrested 10 Spanish Basque militants , including Jose Antonio Urutigoechea , considered by Madrid to be a top leader of the Spanish Basque separatist organization ETA , authorities said today .)
sent477	Felipe Gonzalez	Live_In	Spanish	(Prime Minister Felipe Gonzalez of Spain told reporters , ` ` The police actions and the arrests are of great importance to Spanish society on such a major matter as the battle against terrorism. ' ')
sent490	Judith C. Toth	Live_In	Maryland	(Judith C. Toth says she returned for a fourth term in Maryland 's House of Delegates because she couldn 't find a better job .)
sent510	William O '	Live_In	North Carolina	(Madison County Judge William O 'Brien III set a Feb. 28 hearing date for arguments on whether Timothy Jacobs should be returned to North Carolina .)
sent510	Brien III	Live_In	Madison County	(Madison County Judge William O 'Brien III set a Feb. 28 hearing date for arguments on whether Timothy Jacobs should be returned to North Carolina .)
sent510	Brien III	Live_In	North Carolina	(Madison County Judge William O 'Brien III set a Feb. 28 hearing date for arguments on whether Timothy Jacobs should be returned to North Carolina .)
sent510	Timothy Jacobs	Live_In	Madison County	(Madison County Judge William O 'Brien III set a Feb. 28 hearing date for arguments on whether Timothy Jacobs should be returned to North Carolina .)
sent510	Timothy Jacobs	Live_In	North Carolina	(Madison County Judge William O 'Brien III set a Feb. 28 hearing date for arguments on whether Timothy Jacobs should be returned to North Carolina .)
sent517	Eddie Hatcher	Live_In	Lumberton	(Jacobs , 20 , and Eddie Hatcher , 31 , were charged in the 1988 takeover in Lumberton , N.C.)
sent517	Eddie Hatcher	Live_In	N.C.	(Jacobs , 20 , and Eddie Hatcher , 31 , were charged in the 1988 takeover in Lumberton , N.C.)
sent541	Paul Fournier	Live_In	Thomaston	(Albert O. Harjula , 29 , of Thomaston , became trapped first , said Paul Fournier , a spokesman for the state Department of Inland Fisheries and Wildlife .)
sent556	Idaho Falls	Live_In	Idaho	(To meet tritium needs , the report repeated previous administration recommendations for the construction of a $3.2 billion heavy water reactor at Savannah River and a $3.6 billion new design gas-cooled reactor at the Energy Department facility at Idaho Falls , Idaho .)
sent561	Nixon	Live_In	U.S.	(An architect of President Nixon 's unsuccessful executive-privilege Watergate defense is a top prospect for the post of U.S. solicitor in the new Bush administration .)
sent563	Reagan	Live_In	New York	(Also under consideration are two conservative federal appellate judges appointed by President Reagan : Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York and Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia .)
sent563	Reagan	Live_In	the District of Columbia	(Also under consideration are two conservative federal appellate judges appointed by President Reagan : Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York and Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia .)
sent563	Ralph K. Winter	Live_In	New York	(Also under consideration are two conservative federal appellate judges appointed by President Reagan : Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York and Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia .)
sent563	Ralph K. Winter	Live_In	the District of Columbia	(Also under consideration are two conservative federal appellate judges appointed by President Reagan : Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York and Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia .)
sent563	Kenneth Starr	Live_In	New York	(Also under consideration are two conservative federal appellate judges appointed by President Reagan : Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York and Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia .)
sent563	Kenneth Starr	Live_In	the District of Columbia	(Also under consideration are two conservative federal appellate judges appointed by President Reagan : Ralph K. Winter of the 2nd U.S. Circuit Court of Appeals in New York and Kenneth Starr of the U.S. Circuit Court of Appeals for the District of Columbia .)
sent582	Yerevan	Live_In	Soviet	(The six men were found under the rubble in the basement of a nine-story apartment building which had collapsed on them , the official Soviet news agency said in a report from Yerevan , the capital of Armenia .)
sent582	Yerevan	Live_In	Armenia	(The six men were found under the rubble in the basement of a nine-story apartment building which had collapsed on them , the official Soviet news agency said in a report from Yerevan , the capital of Armenia .)
sent652	J.H. Berman	Live_In	Port Nolloth	(Cape Town Supreme Court Judge J.H. Berman refused to give Port Nolloth municipal authorities the right to forcibly remove the squatters , who live in shacks and tents .)
sent663	Mary Campbell	Live_In	Democratic	(Mary Campbell , a former Democratic member of the Clover Town Council , got the unasked-for tickets in the mail last month .)
sent748	Alain Farley	Live_In	Montreal	(It seems to be more effective , ' ' said Dr. Alain Farley of McGill University in Montreal .)
sent755	David Graham	Live_In	Houston	(Dr. David Graham of the Veterans Administration O Center in Houston , who has also studied the new drug , said some experts are concerned about the long-term effects of shutting down acid secretion almost completely .)
sent756	Paul Newman	Live_In	Louisiana	(` ` Blaze , ' ' a film about a former governor and a stripper , will star Paul Newman as Louisiana Gov. Earl Long .)
sent769	Karl Malden	Live_In	American	(Actor Karl Malden will teach acting in realistic American drama for two weeks beginning Monday at Vanderbilt University .)
sent770	Producer	Live_In	Vanderbilt	(He will be the first Vanderbilt artist-in-residence under an endowment in honor of Fred Coe , a director-producer who grew up in Nashville and worked on network TV shows such as Philco Playhouse , Playhouse 90 , Producer 's Showcase and others .)
sent770	Producer	Live_In	Nashville	(He will be the first Vanderbilt artist-in-residence under an endowment in honor of Fred Coe , a director-producer who grew up in Nashville and worked on network TV shows such as Philco Playhouse , Playhouse 90 , Producer 's Showcase and others .)
sent780	Pat Sajak Show	Live_In	Pittsburgh	(Pittsburgh Mayor Sophie Masloff touted the joys of her favorite city on the nationally televised Pat Sajak Show and put an end to rumors that she sometimes arrives at work with a cup of homemade chicken soup .)
sent787	Yasser Arafat	Live_In	Arab	(Palestine Liberation Organization chairman Yasser Arafat addressed a league committee and berated Arab colleagues for reneging on their promise of aid to the people of the Israeli occupied West Bank and Gaza Strip .)
sent787	Yasser Arafat	Live_In	Israeli	(Palestine Liberation Organization chairman Yasser Arafat addressed a league committee and berated Arab colleagues for reneging on their promise of aid to the people of the Israeli occupied West Bank and Gaza Strip .)
sent787	Yasser Arafat	Live_In	West Bank	(Palestine Liberation Organization chairman Yasser Arafat addressed a league committee and berated Arab colleagues for reneging on their promise of aid to the people of the Israeli occupied West Bank and Gaza Strip .)
sent787	Yasser Arafat	Live_In	Gaza Strip	(Palestine Liberation Organization chairman Yasser Arafat addressed a league committee and berated Arab colleagues for reneging on their promise of aid to the people of the Israeli occupied West Bank and Gaza Strip .)
sent790	Gadhafi	Live_In	Libyan	(Gadhafi requested the meeting of foreign ministers after two U.S. Navy planes downed the Libyan jets , which American officials say were about to attack the U.S. craft .)
sent790	Gadhafi	Live_In	American	(Gadhafi requested the meeting of foreign ministers after two U.S. Navy planes downed the Libyan jets , which American officials say were about to attack the U.S. craft .)
sent790	Gadhafi	Live_In	U.S.	(Gadhafi requested the meeting of foreign ministers after two U.S. Navy planes downed the Libyan jets , which American officials say were about to attack the U.S. craft .)
sent793	Chedli Klibi	Live_In	U.S.	(` ` The U.S. has the biggest stock of chemical arms in the world , and it is trying to obstruct other countries from having their own , ' ' said Arab League Secretary-General Chedli Klibi .)
sent857	Prince Norodom Sihanouk	Live_In	the Soviet Union	(The meeting will be held at the request of the Soviet Union , which also plans direct talks with resistance leader Prince Norodom Sihanouk , said Sihanouk 's son and representative in Thailand , Prince Norodom Ranariddh .)
sent857	Prince Norodom Sihanouk	Live_In	Thailand	(The meeting will be held at the request of the Soviet Union , which also plans direct talks with resistance leader Prince Norodom Sihanouk , said Sihanouk 's son and representative in Thailand , Prince Norodom Ranariddh .)
sent857	Sihanouk	Live_In	the Soviet Union	(The meeting will be held at the request of the Soviet Union , which also plans direct talks with resistance leader Prince Norodom Sihanouk , said Sihanouk 's son and representative in Thailand , Prince Norodom Ranariddh .)
sent857	Sihanouk	Live_In	Thailand	(The meeting will be held at the request of the Soviet Union , which also plans direct talks with resistance leader Prince Norodom Sihanouk , said Sihanouk 's son and representative in Thailand , Prince Norodom Ranariddh .)
sent860	Li Zhaoxing	Live_In	Chinese	(At a regular Chinese Foreign Ministry briefing in Beijing on Thursday , spokesman Li Zhaoxing would say only that China will consider direct talks with Vietnam ` ` at an appropriate time. ' ')
sent860	Li Zhaoxing	Live_In	Vietnam	(At a regular Chinese Foreign Ministry briefing in Beijing on Thursday , spokesman Li Zhaoxing would say only that China will consider direct talks with Vietnam ` ` at an appropriate time. ' ')
sent862	Eduard A. Shevardnadze	Live_In	China	(Soviet Foreign Eduard A. Shevardnadze is to visit China next month to pave the way for the first Chinese-Soviet summit in 30 years , Chinese television reported Monday .)
sent862	Eduard A. Shevardnadze	Live_In	Chinese-Soviet	(Soviet Foreign Eduard A. Shevardnadze is to visit China next month to pave the way for the first Chinese-Soviet summit in 30 years , Chinese television reported Monday .)
sent862	Eduard A. Shevardnadze	Live_In	Chinese	(Soviet Foreign Eduard A. Shevardnadze is to visit China next month to pave the way for the first Chinese-Soviet summit in 30 years , Chinese television reported Monday .)
sent871	Li	Live_In	Cambodian	(In Beijing Thursday , spokesman Li repeated China 's position that the key to the solution of the Cambodian conflict ` ` lies in the genuine and complete Vietnamese troop withdrawal at the earliest possible date and effective international supervision. ' ')
sent871	Li	Live_In	Vietnamese	(In Beijing Thursday , spokesman Li repeated China 's position that the key to the solution of the Cambodian conflict ` ` lies in the genuine and complete Vietnamese troop withdrawal at the earliest possible date and effective international supervision. ' ')
sent896	Walesa	Live_In	Gdansk	(A rally of several thousand Solidarity supporters was held Tuesday at the Lenin Shipyard in Gdansk , where Walesa works .)
sent902	Bruce Jonasson	Live_In	Montreal	(Bruce Jonasson , manager of Bradley First Air , said pilots from Montreal and Ottawa were the plane 's only occupants .)
sent902	Bruce Jonasson	Live_In	Ottawa	(Bruce Jonasson , manager of Bradley First Air , said pilots from Montreal and Ottawa were the plane 's only occupants .)
sent915	Gemini 6000	Live_In	Md.	(Eastport International of Upper Marlboro , Md. , which has been involved in deep-water recovery of wreckage of the space shuttle Challenger as well as other air crashes , retrieved the recorder last Friday from a depth of 14 , 800 feet with its $5 million ` ` remote recovery vehicle ' ' known as Gemini 6000 .)
sent952	Jake Garn	Live_In	Utah	(Sen. Jake Garn , R-Utah , flew on the shuttle in April 1985 and Rep. Bill Nelson , D-Fla. , was aboard in January 1986 , at the invitation of NASA 's administrator .)
sent952	Bill Nelson	Live_In	Utah	(Sen. Jake Garn , R-Utah , flew on the shuttle in April 1985 and Rep. Bill Nelson , D-Fla. , was aboard in January 1986 , at the invitation of NASA 's administrator .)
sent953	Sultan Al-Saud	Live_In	Mexican	(In 1985 , shuttle passengers included Sultan Al-Saud of Saudi Arabia and Rodolfo Neri Vela , a Mexican .)
sent953	Rodolfo Neri Vela	Live_In	Saudi Arabia	(In 1985 , shuttle passengers included Sultan Al-Saud of Saudi Arabia and Rodolfo Neri Vela , a Mexican .)
sent953	Rodolfo Neri Vela	Live_In	Mexican	(In 1985 , shuttle passengers included Sultan Al-Saud of Saudi Arabia and Rodolfo Neri Vela , a Mexican .)
